avg_min_degree,200
2,2.000000
3,3.000000
4,3.700000
5,3.900000
6,4.200000
7,4.800000
8,5.000000
9,5.000000
10,5.500000
11,5.600000
12,5.700000
13,5.800000
14,5.800000
15,6.000000
16,6.100000
17,6.100000
18,6.100000
19,6.300000
20,6.400000
21,6.500000
22,6.600000
23,6.500000
24,6.700000
25,6.800000
26,6.900000
27,6.600000
28,6.700000
29,6.900000
30,6.700000
31,6.700000
32,6.900000
33,7.200000
34,6.900000
35,6.900000
36,6.900000
37,7.000000
38,7.000000
39,7.000000
40,7.100000
41,7.200000
42,7.500000
43,7.100000
44,6.900000
45,7.200000
46,7.300000
47,7.200000
48,7.200000
49,7.600000
50,6.800000
51,7.100000
52,7.500000
53,7.400000
54,7.500000
55,7.600000
56,7.500000
57,7.400000
58,7.700000
59,7.300000
60,7.300000
61,7.800000
62,7.600000
63,7.600000
64,7.400000

max_min_degree,200
2,2.000000
3,3.000000
4,4.000000
5,5.000000
6,5.000000
7,5.000000
8,5.000000
9,6.000000
10,6.000000
11,6.000000
12,6.000000
13,6.000000
14,6.000000
15,7.000000
16,7.000000
17,7.000000
18,7.000000
19,7.000000
20,7.000000
21,7.000000
22,7.000000
23,7.000000
24,7.000000
25,7.000000
26,7.000000
27,7.000000
28,7.000000
29,7.000000
30,7.000000
31,7.000000
32,8.000000
33,8.000000
34,7.000000
35,7.000000
36,8.000000
37,8.000000
38,8.000000
39,8.000000
40,8.000000
41,8.000000
42,8.000000
43,8.000000
44,7.000000
45,8.000000
46,8.000000
47,8.000000
48,8.000000
49,8.000000
50,8.000000
51,8.000000
52,8.000000
53,8.000000
54,8.000000
55,8.000000
56,8.000000
57,8.000000
58,8.000000
59,8.000000
60,8.000000
61,8.000000
62,8.000000
63,8.000000
64,8.000000

trials_used,200
2,10
3,10
4,10
5,10
6,10
7,10
8,10
9,10
10,10
11,10
12,10
13,10
14,10
15,10
16,10
17,10
18,10
19,10
20,10
21,10
22,10
23,10
24,10
25,10
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,10
34,10
35,10
36,10
37,10
38,10
39,10
40,10
41,10
42,10
43,10
44,10
45,10
46,10
47,10
48,10
49,10
50,10
51,10
52,10
53,10
54,10
55,10
56,10
57,10
58,10
59,10
60,10
61,10
62,10
63,10
64,10
