avg_min_degree,10,20,40,80,160,320
5,2.000000,3.000000,2.000000,3.000000,3.000000,5.000000
10,1.000000,2.000000,3.000000,4.000000,5.000000,6.000000
15,2.000000,2.000000,4.000000,4.000000,5.000000,7.000000
20,2.000000,2.000000,3.000000,5.000000,6.000000,8.000000
25,2.000000,3.000000,3.000000,4.000000,6.000000,8.000000
30,2.000000,2.000000,3.000000,5.000000,6.000000,8.000000

max_min_degree,10,20,40,80,160,320
5,2.000000,3.000000,2.000000,3.000000,3.000000,5.000000
10,1.000000,2.000000,3.000000,4.000000,5.000000,6.000000
15,2.000000,2.000000,4.000000,4.000000,5.000000,7.000000
20,2.000000,2.000000,3.000000,5.000000,6.000000,8.000000
25,2.000000,3.000000,3.000000,4.000000,6.000000,8.000000
30,2.000000,2.000000,3.000000,5.000000,6.000000,8.000000

trials_used,10,20,40,80,160,320
5,1,1,1,1,1,1
10,1,1,1,1,1,1
15,1,1,1,1,1,1
20,1,1,1,1,1,1
25,1,1,1,1,1,1
30,1,1,1,1,1,1
