avg_min_degree,10,20,40,80
2,2.000000,2.000000,2.000000,2.000000
12,1.000000,2.000000,3.000000,5.000000
22,2.000000,2.000000,3.000000,4.000000

max_min_degree,10,20,40,80
2,2.000000,2.000000,2.000000,2.000000
12,1.000000,2.000000,3.000000,5.000000
22,2.000000,2.000000,3.000000,4.000000

trials_used,10,20,40,80
2,1,1,1,1
12,1,1,1,1
22,1,1,1,1
